iter	Passed	Remaining
683	1359	6588
684	1361	6590
685	1363	6586
686	1365	6583
687	1366	6577
688	1370	6586
689	1373	6588
690	1376	6590
691	1377	6587
692	1380	6585
693	1381	6582
694	1384	6586
695	1387	6585
696	1390	6588
697	1391	6584
698	1393	6578
699	1393	6571
700	1395	6565
701	1396	6560
702	1397	6556
703	1411	6606
704	1414	6610
705	1415	6603
706	1416	6597
707	1417	6592
708	1418	6585
709	1419	6578
710	1420	6571
711	1421	6564
712	1422	6558
713	1423	6551
714	1424	6545
715	1425	6538
716	1426	6533
717	1428	6529
718	1429	6524
719	1431	6519
720	1432	6513
721	1433	6506
722	1434	6499
723	1435	6493
724	1438	6497
725	1439	6492
726	1441	6489
727	1443	6486
728	1444	6482
729	1446	6478
730	1447	6473
731	1448	6467
732	1449	6462
733	1451	6456
734	1452	6450
735	1453	6445
736	1454	6440
737	1457	6442
738	1459	6440
739	1461	6438
740	1463	6438
741	1465	6432
742	1466	6428
743	1467	6423
744	1468	6418
745	1470	6412
746	1471	6407
747	1472	6401
748	1473	6396
749	1474	6390
750	1475	6384
751	1476	6378
752	1477	6372
753	1479	6367
754	1480	6361
755	1481	6355
756	1482	6349
757	1483	6343
758	1484	6339
759	1486	6335
760	1487	6330
761	1488	6326
762	1490	6321
763	1491	6317
764	1493	6314
765	1494	6310
766	1495	6305
767	1497	6300
768	1498	6295
769	1500	6293
770	1501	6290
771	1503	6285
772	1504	6281
773	1505	6275
774	1506	6270
775	1508	6265
776	1509	6259
777	1511	6259
778	1512	6255
779	1514	6252
780	1515	6247
781	1517	6244
782	1518	6240
783	1520	6237
784	1521	6232
785	1522	6226
786	1524	6222
787	1525	6217
788	1526	6212
789	1527	6206
790	1528	6202
791	1530	6197
792	1531	6191
793	1532	6186
794	1533	6181
795	1534	6175
796	1535	6169
797	1536	6164
798	1537	6158
799	1538	6153
800	1539	6149
801	1541	6145
802	1542	6141
803	1544	6140
804	1547	6139
805	1548	6137
806	1549	6132
807	1551	6127
808	1552	6123
809	1554	6120
810	1555	6115
811	1556	6110
812	1558	6107
813	1559	6103
814	1560	6099
815	1562	6095
816	1563	6092
817	1565	6088
818	1566	6084
819	1567	6079
820	1568	6074
821	1570	6069
822	1571	6066
823	1573	6063
824	1575	6062
825	1576	6058
826	1578	6054
827	1579	6050
828	1580	6046
829	1582	6043
830	1584	6043
831	1586	6041
832	1588	6038
833	1589	6034
834	1591	6030
835	1592	6026
836	1593	6022
837	1595	6018
838	1596	6014
839	1597	6010
840	1599	6008
841	1601	6005
842	1602	6003
843	1604	6001
844	1606	5998
845	1608	5995
846	1609	5992
847	1611	5989
848	1613	5987
849	1614	5984
850	1615	5979
851	1616	5974
852	1617	5968
853	1618	5963
854	1619	5958
855	1621	5953
856	1622	5949
857	1623	5944
858	1624	5939
859	1625	5935
860	1626	5930
861	1628	5927
862	1629	5925
863	1631	5923
864	1633	5919
865	1634	5914
866	1635	5910
867	1636	5906
868	1637	5901
869	1639	5899
870	1640	5894
871	1641	5889
872	1643	5887
873	1645	5884
874	1646	5879
875	1647	5875
876	1648	5871
877	1649	5866
878	1651	5862
879	1652	5858
880	1653	5853
881	1654	5848
882	1655	5843
883	1656	5838
884	1658	5835
885	1659	5832
886	1660	5828
887	1661	5823
888	1662	5818
889	1663	5814
890	1664	5809
891	1666	5805
892	1667	5801
893	1668	5797
894	1669	5792
895	1670	5787
896	1671	5782
897	1672	5778
898	1674	5774
899	1675	5771
900	1676	5766
901	1677	5761
902	1678	5756
903	1679	5752
904	1681	5750
905	1682	5746
906	1684	5742
907	1685	5738
908	1686	5734
909	1687	5730
910	1688	5726
911	1689	5722
912	1691	5718
913	1692	5713
914	1693	5710
915	1695	5709
916	1697	5705
917	1697	5700
918	1698	5695
919	1699	5690
920	1700	5685
921	1701	5680
922	1702	5676
923	1703	5671
924	1704	5666
925	1705	5661
926	1706	5656
927	1707	5651
928	1708	5647
929	1709	5642
930	1710	5637
931	1710	5632
932	1711	5627
933	1712	5622
934	1713	5617
935	1714	5612
936	1715	5607
937	1716	5602
938	1719	5603
939	1720	5599
940	1721	5595
941	1722	5590
942	1722	5585
943	1724	5581
944	1725	5576
945	1726	5572
946	1726	5567
947	1727	5562
948	1728	5557
949	1729	5553
950	1730	5548
951	1731	5543
952	1732	5538
953	1733	5534
954	1734	5530
955	1736	5528
956	1737	5524
957	1738	5520
958	1739	5515
959	1740	5511
960	1741	5506
961	1742	5502
962	1743	5498
963	1744	5493
964	1745	5489
965	1746	5485
966	1748	5484
967	1750	5482
968	1752	5480
969	1754	5479
970	1755	5475
971	1756	5471
972	1757	5466
973	1758	5462
974	1759	5457
975	1760	5453
976	1761	5448
977	1762	5446
978	1764	5445
979	1765	5441
980	1766	5437
981	1767	5433
982	1768	5429
983	1770	5425
984	1771	5421
985	1772	5418
986	1773	5415
987	1774	5411
988	1775	5406
989	1778	5407
990	1779	5404
991	1780	5400
992	1781	5395
993	1782	5391
994	1783	5386
995	1784	5382
996	1785	5377
997	1786	5373
998	1787	5368
999	1788	5364
1000	1788	5359
1001	1790	5356
1002	1791	5353
1003	1793	5350
1004	1794	5346
1005	1795	5342
1006	1795	5337
1007	1796	5333
1008	1797	5329
1009	1798	5324
1010	1799	5320
1011	1800	5315
1012	1801	5311
1013	1802	5306
1014	1803	5302
1015	1803	5298
1016	1805	5294
1017	1805	5290
1018	1807	5286
1019	1808	5283
1020	1809	5280
1021	1810	5276
1022	1812	5273
1023	1812	5268
1024	1813	5264
1025	1814	5260
1026	1815	5256
1027	1816	5251
1028	1817	5247
1029	1818	5243
1030	1819	5239
1031	1820	5235
1032	1821	5232
1033	1822	5228
1034	1824	5225
1035	1824	5221
1036	1825	5217
1037	1826	5212
1038	1827	5208
1039	1828	5204
1040	1829	5200
1041	1830	5196
1042	1831	5192
1043	1832	5188
1044	1833	5184
1045	1834	5180
1046	1835	5176
1047	1836	5172
1048	1838	5172
1049	1840	5170
1050	1841	5167
1051	1842	5163
1052	1843	5159
1053	1844	5155
1054	1845	5151
1055	1846	5148
1056	1848	5145
1057	1849	5142
1058	1850	5139
1059	1851	5136
1060	1853	5132
1061	1854	5129
1062	1855	5125
1063	1856	5122
1064	1857	5118
1065	1858	5115
1066	1859	5111
1067	1860	5108
1068	1861	5105
1069	1862	5101
1070	1863	5097
1071	1865	5094
1072	1867	5093
1073	1868	5091
1074	1870	5088
1075	1871	5085
1076	1872	5082
1077	1873	5078
1078	1875	5077
1079	1877	5076
1080	1879	5075
1081	1883	5078
1082	1885	5079
1083	1888	5078
1084	1889	5077
1085	1891	5074
1086	1892	5070
1087	1893	5068
1088	1897	5071
1089	1899	5069
1090	1900	5067
1091	1901	5064
1092	1902	5060
1093	1903	5057
1094	1905	5054
1095	1906	5051
1096	1907	5048
1097	1908	5044
1098	1909	5041
1099	1911	5038
1100	1912	5034
1101	1913	5031
1102	1914	5029
1103	1915	5025
1104	1916	5021
1105	1917	5018
1106	1918	5014
1107	1919	5010
1108	1920	5007
1109	1921	5003
1110	1922	5000
1111	1924	4997
1112	1925	4994
1113	1927	4992
1114	1928	4989
1115	1929	4986
1116	1930	4983
1117	1931	4980
1118	1933	4977
1119	1934	4974
1120	1935	4971
1121	1936	4967
1122	1937	4964
1123	1939	4962
1124	1941	4961
1125	1942	4957
1126	1943	4954
1127	1944	4950
1128	1945	4947
1129	1946	4943
1130	1947	4940
1131	1949	4937
1132	1950	4935
1133	1951	4932
1134	1952	4929
1135	1954	4926
1136	1955	4924
1137	1957	4921
1138	1958	4919
1139	1961	4920
1140	1962	4917
1141	1963	4914
1142	1964	4911
1143	1965	4908
1144	1967	4904
1145	1968	4902
1146	1970	4900
1147	1971	4897
1148	1972	4893
1149	1973	4890
1150	1974	4886
1151	1975	4883
1152	1976	4879
1153	1977	4875
1154	1979	4876
1155	1980	4873
1156	1981	4870
1157	1983	4868
1158	1986	4868
1159	1987	4866
1160	1989	4863
1161	1990	4861
1162	1991	4857
1163	1992	4854
1164	1993	4851
1165	1994	4848
1166	1995	4845
1167	1997	4842
1168	1999	4841
1169	2000	4837
1170	2001	4834
1171	2002	4831
1172	2003	4828
1173	2004	4824
1174	2005	4821
1175	2007	4820
1176	2008	4818
1177	2010	4815
1178	2014	4819
1179	2016	4819
1180	2018	4818
1181	2019	4815
1182	2021	4812
1183	2022	4809
1184	2023	4805
1185	2024	4802
1186	2025	4799
1187	2026	4796
1188	2027	4794
1189	2029	4791
1190	2030	4787
1191	2031	4784
1192	2032	4781
1193	2032	4777
1194	2035	4776
1195	2036	4774
1196	2037	4770
1197	2038	4767
1198	2039	4763
1199	2040	4760
1200	2041	4757
1201	2042	4754
1202	2043	4751
1203	2045	4750
1204	2047	4748
1205	2048	4746
1206	2049	4743
1207	2050	4740
1208	2051	4736
1209	2052	4733
1210	2054	4731
1211	2055	4728
1212	2057	4726
1213	2058	4723
1214	2059	4720
1215	2060	4716
1216	2061	4714
1217	2062	4710
1218	2063	4707
1219	2064	4703
1220	2065	4700
1221	2066	4697
1222	2067	4693
1223	2068	4690
1224	2069	4687
1225	2070	4683
1226	2071	4680
1227	2072	4678
1228	2073	4676
1229	2077	4678
1230	2078	4675
1231	2079	4671
1232	2080	4668
1233	2081	4665
1234	2082	4661
1235	2082	4657
1236	2083	4654
1237	2084	4650
1238	2085	4647
1239	2086	4644
1240	2087	4641
1241	2088	4638
1242	2089	4635
1243	2090	4631
1244	2091	4628
1245	2092	4624
1246	2093	4621
1247	2094	4618
1248	2095	4614
1249	2095	4610
1250	2096	4607
1251	2097	4604
1252	2098	4600
1253	2099	4597
1254	2100	4594
1255	2101	4590
1256	2102	4587
1257	2104	4586
1258	2104	4582
1259	2106	4579
1260	2106	4576
1261	2107	4573
1262	2108	4569
1263	2109	4566
1264	2110	4562
1265	2111	4559
1266	2112	4556
1267	2113	4553
1268	2114	4549
1269	2115	4546
1270	2116	4543
1271	2117	4541
1272	2118	4537
1273	2119	4534
1274	2120	4531
1275	2121	4528
1276	2122	4525
1277	2123	4521
1278	2123	4518
1279	2124	4515
1280	2125	4512
1281	2126	4509
1282	2127	4505
1283	2128	4502
1284	2129	4499
1285	2130	4496
1286	2133	4497
1287	2135	4495
1288	2136	4493
1289	2138	4491
1290	2139	4490
1291	2140	4487
1292	2141	4484
1293	2142	4481
1294	2143	4478
1295	2144	4474
1296	2145	4471
1297	2146	4468
1298	2147	4465
1299	2148	4462
1300	2149	4459
1301	2150	4456
1302	2151	4453
1303	2152	4451
1304	2153	4447
1305	2154	4444
1306	2155	4441
1307	2156	4438
1308	2157	4435
1309	2158	4432
1310	2159	4428
1311	2160	4425
1312	2161	4423
1313	2162	4420
1314	2163	4418
1315	2165	4416
1316	2166	4413
1317	2167	4410
1318	2168	4407
1319	2169	4404
1320	2170	4401
1321	2171	4398
1322	2172	4395
1323	2173	4392
1324	2174	4389
1325	2175	4386
1326	2176	4383
1327	2178	4382
1328	2179	4379
1329	2180	4377
1330	2181	4374
1331	2182	4371
1332	2183	4369
1333	2184	4366
1334	2185	4363
1335	2187	4361
1336	2188	4359
1337	2189	4356
1338	2190	4353
1339	2192	4351
1340	2193	4349
1341	2194	4347
1342	2196	4346
1343	2198	4344
1344	2199	4341
1345	2200	4339
1346	2201	4336
1347	2202	4333
1348	2203	4330
1349	2204	4327
1350	2207	4327
1351	2208	4326
1352	2209	4323
1353	2210	4320
1354	2211	4317
1355	2213	4315
1356	2214	4312
1357	2215	4310
1358	2216	4307
1359	2217	4304
1360	2218	4301
1361	2219	4298
1362	2220	4296
1363	2222	4294
1364	2223	4292
1365	2225	4290
1366	2226	4287
1367	2227	4285
1368	2229	4283
1369	2230	4281
1370	2231	4279
1371	2232	4276
1372	2233	4273
1373	2234	4270
1374	2237	4270
1375	2238	4269
1376	2239	4266
1377	2240	4263
1378	2241	4260
1379	2242	4258
1380	2243	4255
1381	2244	4252
1382	2245	4249
1383	2246	4246
1384	2247	4243
1385	2248	4240
1386	2249	4237
1387	2250	4234
1388	2251	4232
1389	2253	4230
1390	2254	4228
1391	2255	4225
1392	2257	4224
1393	2258	4221
1394	2259	4219
1395	2260	4216
1396	2261	4213
1397	2262	4210
1398	2263	4207
1399	2265	4206
1400	2267	4207
1401	2269	4206
1402	2271	4203
1403	2272	4202
1404	2273	4199
1405	2275	4197
1406	2275	4194
1407	2276	4191
1408	2277	4188
1409	2278	4185
1410	2280	4183
1411	2281	4181
1412	2282	4179
1413	2284	4177
1414	2285	4174
1415	2286	4172
1416	2287	4169
1417	2288	4166
1418	2289	4163
1419	2290	4161
1420	2291	4158
1421	2292	4155
1422	2293	4153
1423	2295	4152
1424	2296	4150
1425	2298	4148
1426	2299	4145
1427	2300	4142
1428	2301	4140
1429	2303	4140
1430	2304	4137
1431	2305	4135
1432	2306	4132
1433	2308	4130
1434	2310	4129
1435	2313	4131
1436	2315	4130
1437	2317	4128
1438	2317	4125
1439	2318	4122
1440	2319	4119
1441	2320	4116
1442	2322	4114
1443	2322	4111
1444	2323	4109
1445	2325	4107
1446	2326	4105
1447	2327	4102
1448	2328	4100
1449	2330	4098
1450	2331	4096
1451	2332	4093
1452	2334	4091
1453	2335	4089
1454	2336	4086
1455	2337	4083
1456	2339	4082
1457	2340	4080
1458	2342	4079
1459	2343	4077
1460	2345	4075
1461	2346	4073
1462	2347	4070
1463	2348	4068
1464	2350	4066
1465	2351	4063
1466	2352	4061
1467	2353	4059
1468	2354	4057
1469	2356	4054
1470	2357	4052
1471	2358	4050
1472	2359	4048
1473	2361	4046
1474	2362	4043
1475	2363	4041
1476	2364	4038
1477	2365	4036
1478	2366	4034
1479	2368	4032
1480	2369	4030
1481	2370	4027
1482	2371	4025
1483	2372	4023
1484	2374	4020
1485	2375	4018
1486	2376	4016
1487	2377	4014
1488	2379	4012
1489	2380	4009
1490	2381	4007
1491	2382	4005
1492	2383	4002
1493	2385	4000
1494	2386	3998
1495	2387	3995
1496	2388	3993
1497	2389	3990
1498	2390	3988
1499	2391	3986
1500	2392	3983
1501	2393	3981
1502	2394	3978
1503	2396	3977
1504	2398	3975
1505	2400	3974
1506	2401	3972
1507	2402	3970
1508	2403	3968
1509	2404	3965
1510	2406	3963
1511	2407	3961
1512	2408	3958
1513	2409	3955
1514	2410	3953
1515	2411	3951
1516	2412	3949
1517	2414	3947
1518	2415	3945
1519	2416	3942
1520	2417	3940
1521	2418	3937
1522	2419	3935
1523	2420	3933
1524	2422	3930
1525	2423	3928
1526	2424	3926
1527	2425	3923
1528	2427	3922
1529	2429	3922
1530	2431	3921
1531	2433	3919
1532	2434	3917
1533	2436	3916
1534	2437	3913
1535	2438	3911
1536	2441	3913
1537	2444	3913
1538	2445	3911
1539	2446	3908
1540	2448	3906
1541	2450	3905
1542	2451	3903
1543	2452	3900
1544	2453	3898
1545	2454	3896
1546	2456	3894
1547	2457	3893
1548	2459	3891
1549	2460	3889
1550	2462	3888
1551	2463	3886
1552	2464	3883
1553	2465	3881
1554	2466	3878
1555	2467	3876
1556	2469	3874
1557	2470	3872
1558	2472	3870
1559	2473	3868
1560	2474	3866
1561	2475	3864
1562	2476	3861
1563	2478	3859
1564	2479	3857
1565	2480	3855
1566	2481	3853
1567	2482	3850
1568	2484	3848
1569	2485	3847
1570	2487	3846
1571	2489	3845
1572	2491	3843
1573	2492	3841
1574	2493	3839
1575	2494	3836
1576	2495	3834
1577	2497	3832
1578	2498	3830
1579	2499	3829
1580	2500	3826
1581	2502	3824
1582	2503	3821
1583	2504	3819
1584	2505	3817
1585	2506	3814
1586	2507	3812
1587	2508	3810
1588	2509	3807
1589	2510	3805
1590	2511	3803
1591	2512	3801
1592	2514	3799
1593	2517	3799
1594	2519	3798
1595	2520	3796
1596	2521	3794
1597	2522	3791
1598	2523	3789
1599	2524	3787
1600	2526	3785
1601	2527	3783
1602	2528	3781
1603	2530	3779
1604	2531	3776
1605	2532	3774
1606	2533	3772
1607	2534	3770
1608	2535	3768
1609	2536	3765
1610	2537	3763
1611	2539	3761
1612	2540	3759
1613	2541	3756
1614	2544	3757
1615	2545	3755
1616	2547	3753
1617	2548	3751
1618	2549	3749
1619	2551	3747
1620	2552	3746
1621	2554	3744
1622	2555	3742
1623	2557	3741
1624	2558	3739
1625	2560	3738
1626	2561	3735
1627	2562	3733
1628	2563	3731
1629	2564	3729
1630	2565	3726
1631	2567	3724
1632	2568	3722
1633	2569	3719
1634	2570	3718
1635	2572	3716
1636	2573	3715
1637	2574	3712
1638	2575	3710
1639	2576	3707
1640	2577	3705
1641	2578	3703
1642	2579	3700
1643	2580	3698
1644	2581	3695
1645	2582	3693
1646	2584	3691
1647	2585	3689
1648	2586	3687
1649	2587	3684
1650	2588	3682
1651	2589	3679
1652	2590	3677
1653	2591	3675
1654	2592	3673
1655	2593	3671
1656	2594	3669
1657	2596	3667
1658	2597	3665
1659	2598	3663
1660	2599	3661
1661	2601	3659
1662	2603	3658
1663	2604	3656
1664	2606	3654
1665	2607	3652
1666	2608	3651
1667	2610	3649
1668	2611	3647
1669	2613	3645
1670	2614	3643
1671	2615	3641
1672	2616	3639
1673	2617	3637
1674	2618	3635
1675	2620	3633
1676	2621	3630
1677	2622	3628
1678	2623	3626
1679	2624	3624
1680	2625	3621
1681	2626	3619
1682	2627	3617
1683	2628	3614
1684	2629	3612
1685	2630	3610
1686	2631	3608
1687	2632	3605
1688	2633	3603
1689	2634	3601
1690	2635	3598
1691	2636	3596
1692	2638	3595
1693	2639	3593
1694	2640	3590
1695	2641	3588
1696	2642	3585
1697	2643	3583
1698	2644	3581
1699	2645	3578
1700	2646	3576
1701	2647	3574
1702	2648	3572
1703	2649	3569
1704	2650	3567
1705	2651	3565
1706	2652	3562
1707	2653	3560
1708	2654	3558
1709	2655	3555
1710	2656	3553
1711	2657	3551
1712	2658	3548
1713	2659	3546
1714	2660	3544
1715	2661	3542
1716	2662	3539
1717	2663	3537
